cluster,session_length_performance_slope,within_session_performance_slope,games_per_day_performance_slope,games_per_week_performance_slope
0,0.0035822449434425004,-0.0335849372546615,0.0033741719484465,0.00044369795558600004
1,0.022555178325777,-0.05313111545988201,0.006382830398532001,0.000942143559046
2,0.0021378419248350004,-0.00924513007704,0.001173622838757,0.000265070193881
3,0.007738691217699001,-0.038873626373626,0.0019409513331630002,0.00053416700291
4,0.0019351952631040002,0.004454179650593,6.92080956383143e-05,0.000509254439736
