cluster,session_length_performance_slope,within_session_performance_slope,games_per_day_performance_slope,games_per_week_performance_slope
0,0.009852551351429808,-0.040063197766513285,0.004499597980564762,0.0007267637901570956
1,0.01515000747637552,-0.04652734442548081,0.006446315301268347,0.0013090129295411283
2,0.0003834221711159025,0.0017629088841003427,0.0003168999770328537,-0.0002181607703725366
3,0.0018780991131829104,-0.024155375234170568,0.0018273063267180002,0.0006269405500300038
4,0.004756897352509704,-0.010262622773908003,0.001372460173282938,0.000575929630857452
