cluster,session_length_performance_slope,within_session_performance_slope,games_per_day_performance_slope,games_per_week_performance_slope
0,0.003448209462153784,-0.022980973978651325,0.002722054206137761,0.0008436345498392435
1,0.010596454793610327,-0.02393042905437684,0.003554735608543791,0.00038925524960227903
2,0.0024283922133045742,-0.015533169602390534,0.0007399003092228936,0.0005580432559979871
3,0.011849440379104088,-0.050313841896267884,0.0053114274166453255,0.0009437846718185301
4,0.009265917353564631,-0.025066057035719833,0.004406332726393297,0.0005526660990908641
