cluster,draw_ratio,cv_games_per_week,cv_games_interval,entropy_sessions_interval,cv_games_per_session
0,0.0261027038657385,0.849823914924628,8.169976940994886,0.974437749467955,0.805508254725557
1,0.027522935779816002,0.536070507658427,2.308930684177913,1.023682304103707,0.627897883096026
2,0.015117235705470501,0.6993463303718246,2.7634374575995118,1.0597211026545155,0.8284985067084176
3,0.029082774049217,0.9156428342814501,3.675174274845488,1.289288155383298,0.7916339412949681
4,0.026083844123305003,1.0493342103427579,5.130637930230588,1.1941845143873446,1.177086148272899
