cluster,session_length_performance_slope,within_session_performance_slope,games_per_day_performance_slope,games_per_week_performance_slope
0,0.008130387717131001,-0.048448773448773005,0.004606124819803,0.000683583569902
1,0.008686426707926,-0.024605264377963502,0.0029828465542170004,0.0006064891393915001
2,0.012947615881458001,-0.036770623742454,0.006411722048939,0.0006447748627350001
3,0.001957317799721,-0.033024418946749005,0.0017205441763600002,0.000462297084215
4,-8.63306528e-05,0.0030401213729360005,0.00022893401821500004,0.00022365288692500002
