cluster,draw_ratio,cv_games_per_day,cv_games_interval,mean_games_per_session
0,0.03952703949260512,0.7673897992413422,3.3831662615635145,2.491110110120926
1,0.020945373977710673,0.9583969863148115,3.47479426341778,3.0082381812071683
2,0.01980599091319268,0.683285173562607,2.373781665781277,2.2805899734193003
3,0.019473944245042323,0.7525929097331792,8.025428363049981,3.400300087669498
4,0.03443751250914453,0.7795471549460329,6.0738359174201815,6.989915476913368
