cluster,session_length_performance_slope,within_session_performance_slope,games_per_day_performance_slope,games_per_week_performance_slope
0,0.004274074222302134,-0.024470658251912702,0.002194682641210017,0.00013655842357881666
1,0.002556937583319171,-0.01367620833147349,0.0017743676410415122,0.0005600540492522444
2,0.01056112817226188,-0.03211161430778393,0.0029023963499385124,0.0007346766049935371
3,0.011675281990223035,-0.03742642916644735,0.005676175240452353,0.0009208657682105764
4,0.006408129959130908,-0.032107517680462064,0.003260875208122636,0.0010102378677435075
