cluster,session_length_performance_slope,within_session_performance_slope,games_per_day_performance_slope,games_per_week_performance_slope
0,0.0017591936226266747,-0.014423332763893874,0.003712240985463806,0.0013232539639899885
1,0.005136984106971158,-0.0311620027730165,0.0010474657865786842,-6.453246177976318e-05
2,0.00039982973541553585,0.022166543919793894,0.0004665525499604643,-0.00036246959982948564
3,0.016329217222223327,-0.06699928844448429,0.004616420853068945,0.0006824592240799728
4,0.010082647397206228,-0.03036646605103206,0.004693751212070027,0.0008145152677244801
