cluster,mean_ply_count,cv_games_interval,mean_games_per_session,color_bias
0,56.44212113481246,3.1823579188480884,2.601201706278559,0.09242648547994853
1,49.18743363772744,5.4490717502070085,5.469722960714187,0.03457288763604271
2,62.25557653295626,2.2500855609398984,2.0442572333306566,0.026443722273030275
3,63.6987152351691,8.510934664014773,5.927027849030091,0.07426219192846968
4,60.28012858926107,4.874111895464902,3.072795851002282,0.0016825526722968808
