cluster,session_length_performance_slope,within_session_performance_slope,games_per_day_performance_slope,games_per_week_performance_slope
0,0.006193468563292047,-0.01311159799782108,0.001690259566538505,0.000332222547685223
1,0.005936750060088041,-0.01991442750946518,0.00234015278230806,0.0005231555546309532
2,0.0056099003818553,-0.02774342509252447,0.0022162544803795334,0.0007925305072897826
3,0.009145893919442403,-0.048186391377868114,0.005079036732735183,0.0011984114680079953
4,0.009191450748135098,-0.0308317143556435,0.004774503050588599,0.0005732782245909092
