cluster,session_length_performance_slope,within_session_performance_slope,games_per_day_performance_slope,games_per_week_performance_slope
0,0.021196993765312002,-0.065728496492773,0.007860927453212001,0.0007390057081140001
1,-0.005093044550256,0.048021195934138006,-0.0017263493967280001,2.028318199503331e-05
2,0.009161064673275002,-0.07148673931485701,0.0042663081051135,0.000961096532266
3,0.00884152857108,-0.048412698412698005,0.0032612526876030002,0.001115521320793
4,-0.0005846172123710001,-0.0027176131616915003,-0.0013494737323455001,-0.000286069619898
